13A,motor neuron,weight
13AL5b,extracoxal_trochanter_depressor_in_thorax_Vn,36
13AL10d,extracoxal_trochanter_depressor_in_thorax_Vn,9
13AL10c,extracoxal_trochanter_depressor_in_thorax_Vn,5
13AL5a,extracoxal_trochanter_depressor_in_thorax_Vn,31
13AL5c,extracoxal_trochanter_depressor_in_thorax_Vn,35
13AL6c,extracoxal_trochanter_depressor_in_thorax_Vn,22
13AL10d,extracoxal_trochanter_depressor_in_thorax_Vn,52
13AL5a,extracoxal_trochanter_depressor_in_thorax_Vn,36
13AL2e,extracoxal_trochanter_depressor_in_thorax_Vn,6
13AL11c,extracoxal_trochanter_depressor_in_thorax_Vn,10
13AL10c,extracoxal_trochanter_depressor_in_thorax_Vn,21
13AL1b,extracoxal_trochanter_depressor_in_thorax_Vn,33
13AL5c,extracoxal_trochanter_depressor_in_thorax_Vn,53
13AL1a,extracoxal_trochanter_depressor_in_thorax_Vn,27
13AL11b,extracoxal_trochanter_depressor_in_thorax_Vn,15
13AL2a,extracoxal_trochanter_depressor_in_thorax_Vn,5
13AL3b,extracoxal_trochanter_depressor_in_thorax_Vn,7
13AL5b,extracoxal_trochanter_depressor_in_thorax_Vn,53
13AL11d,extracoxal_trochanter_depressor_in_thorax_Vn,16
13AL3a,extracoxal_trochanter_depressor_in_thorax_Vn,38
13AL10c,extracoxal_trochanter_depressor_in_thorax_Vn,21
13AL3UK1,extracoxal_trochanter_depressor_in_thorax_Vn,34
13AL3UK1,extracoxal_trochanter_depressor_in_thorax_Vn,17
13AL3UK3,extracoxal_trochanter_depressor_in_thorax_Vn,17
13AL6e,extracoxal_trochanter_depressor_in_thorax_Vn,13
L13A-α,extracoxal_trochanter_depressor_in_thorax_Vn,18
L13A-α,extracoxal_trochanter_depressor_in_thorax_Vn,40
L13A-γ,extracoxal_trochanter_depressor_in_thorax_Vn,7
L13A-δ,extracoxal_trochanter_depressor_in_thorax_Vn,11
L13A-ε,extracoxal_trochanter_depressor_in_thorax_Vn,101
L13A-ε,extracoxal_trochanter_depressor_in_thorax_Vn,28
13AL8b,tergopleural_promotor_pleural_promotor_in_thorax_miller_28_30,11
13AL9d,tergopleural_promotor_pleural_promotor_in_thorax_miller_28_30,13
13AL8a,tergopleural_promotor_pleural_promotor_in_thorax_miller_28_30,20
13AL11d,tergopleural_promotor_pleural_promotor_in_thorax_miller_28_30,11
13AL9c,tergopleural_promotor_pleural_promotor_in_thorax_miller_28_30,17
13AL8c,tergopleural_promotor_pleural_promotor_in_thorax_miller_28_30,35
13AL7a,tergopleural_promotor_pleural_promotor_in_thorax_miller_28_30,7
13AL6c,tergopleural_promotor_pleural_promotor_in_thorax_miller_28_30,53
13AL11d,tergopleural_promotor_pleural_promotor_in_thorax_miller_28_30,14
13AL9e,tergopleural_promotor_pleural_promotor_in_thorax_miller_28_30,7
13AL6a,tergopleural_promotor_pleural_promotor_in_thorax_miller_28_30,45
13AL9d,tergopleural_promotor_pleural_promotor_in_thorax_miller_28_30,16
13AL8c,tergopleural_promotor_pleural_promotor_in_thorax_miller_28_30,33
13AL6d,tergopleural_promotor_pleural_promotor_in_thorax_miller_28_30,64
13AL10c,tergopleural_promotor_pleural_promotor_in_thorax_miller_28_30,5
13AL9b,tergopleural_promotor_pleural_promotor_in_thorax_miller_28_30,5
13AL9c,tergopleural_promotor_pleural_promotor_in_thorax_miller_28_30,16
13AL8b,tergopleural_promotor_pleural_promotor_in_thorax_miller_28_30,10
13AL8a,tergopleural_promotor_pleural_promotor_in_thorax_miller_28_30,60
13AL6b,tergopleural_promotor_pleural_promotor_in_thorax_miller_28_30,79
13AL8a,tergopleural_promotor_pleural_promotor_in_thorax_miller_28_30,49
13AL7b,tergopleural_promotor_pleural_promotor_in_thorax_miller_28_30,5
13AL7a,tergopleural_promotor_pleural_promotor_in_thorax_miller_28_30,18
13AL6a,tergopleural_promotor_pleural_promotor_in_thorax_miller_28_30,10
13AL6d,tergopleural_promotor_pleural_promotor_in_thorax_miller_28_30,25
13AL8c,tergopleural_promotor_pleural_promotor_in_thorax_miller_28_30,23
13AL9d,tergopleural_promotor_pleural_promotor_in_thorax_miller_28_30,7
13AL6c,tergopleural_promotor_pleural_promotor_in_thorax_miller_28_30,31
13AL9c,tergopleural_promotor_pleural_promotor_in_thorax_miller_28_30,8
13AL6b,tergopleural_promotor_pleural_promotor_in_thorax_miller_28_30,21
13AL9d,tergopleural_promotor_pleural_promotor_in_thorax_miller_28_30,35
13AL6a,tergopleural_promotor_pleural_promotor_in_thorax_miller_28_30,34
13AL10c,tergopleural_promotor_pleural_promotor_in_thorax_miller_28_30,24
13AL6b,tergopleural_promotor_pleural_promotor_in_thorax_miller_28_30,27
13AL8c,tergopleural_promotor_pleural_promotor_in_thorax_miller_28_30,40
13AL7c,tergopleural_promotor_pleural_promotor_in_thorax_miller_28_30,7
13AL7e,tergopleural_promotor_pleural_promotor_in_thorax_miller_28_30,15
13AL7b,tergopleural_promotor_pleural_promotor_in_thorax_miller_28_30,9
13AL3b,tergopleural_promotor_pleural_promotor_in_thorax_miller_28_30,13
