"pre_id","query","weight","n","id.x","names.x","id.y","names.y","Name"
"648518346459729668","648518346521654521",4,1,"648518346496575356","R13A10b","648518346521654521","13A-R-9a","13B-R-5f"
"648518346459729668","648518346521654521",4,1,"648518346496575356","R13A10i_12b","648518346521654521","13A-R-9a","13B-R-5f"
"648518346478683476","648518346491635142",12,1,"648518346514069982","R13A_γ_6","648518346491635142","13A-R-9d","13B-R-4a"
"648518346479109839","648518346493805304",4,1,"648518346493805304","R13A-α","648518346493805304","13A-R-α-10f","13B-R-3a"
"648518346481850813","648518346491635142",5,1,"648518346514069982","R13A_γ_6","648518346491635142","13A-R-9d","13B-R-4b"
"648518346483338828","648518346492108683",5,1,"648518346500412376","R13A9b","648518346492108683","13A-R-7b","13B-R-10d"
"648518346483338828","648518346475742644",4,1,"648518346490142216","R13A4d","648518346475742644","13A-R-4c","13B-R-10d"
"648518346485604371","648518346499550555",4,1,"648518346486482097","R13A_β_5","648518346499550555","13A-R-β-10g","13B-R-10c"
"648518346485604371","648518346524266501",4,1,"648518346489624671","R13A10g","648518346524266501","13A-R-9i","13B-R-10c"
"648518346485604371","648518346484181533",6,1,"648518346500872348","R13A7g","648518346484181533","13A-R-6f","13B-R-10c"
"648518346485604371","648518346521654521",6,1,"648518346496575356","R13A10i_12b","648518346521654521","13A-R-9a","13B-R-10c"
"648518346485604371","648518346486416008",5,1,"648518346495607915","R13A8b","648518346486416008","13A-R-8e","13B-R-10c"
"648518346485604371","648518346521654521",6,1,"648518346496575356","R13A10b","648518346521654521","13A-R-9a","13B-R-10c"
"648518346486348168","648518346496511829",4,1,"648518346509900838","R13A_ε_y","648518346496511829","13A-R-6a","13B-R-1g"
"648518346486348168","648518346499550555",9,1,"648518346486482097","R13A_β_5","648518346499550555","13A-R-β-10g","13B-R-1g"
"648518346486604721","648518346488772686",5,1,"648518346521464057","R13A11b","648518346488772686","13A-R-10a","13B-R-1d"
"648518346486604721","648518346486451113",5,1,"648518346518664927","13A-uk3","648518346486451113","13A-R-10b","13B-R-1d"
