feco,weight,MN,,,,
claw_ext,6,main_tibia_flexor_in_femur_0,,,,
hook_ext,9,main_tibia_flexor_in_femur_0,,,,
hook_ext,9,main_tibia_flexor_in_femur_0,,,,
hook_ext,10,main_tibia_flexor_in_femur_0,,,,
hook_ext,10,main_tibia_flexor_in_femur_0,,,,
hook_ext,7,main_tibia_flexor_in_femur_0,,,,
hook_ext,8,main_tibia_flexor_in_femur_0,,,,
claw_flx,4,main_tibia_flexor_in_femur_0,,,,
claw_ext,4,main_tibia_flexor_in_femur_0,,,,
claw_ext,6,main_tibia_flexor_in_femur_0,,,,
hook_ext,17,main_tibia_flexor_in_femur_0,,,,
claw_ext,7,main_tibia_flexor_in_femur_0,,,,
claw_ext,5,main_tibia_flexor_in_femur_0,,,,
hook_ext,9,main_tibia_flexor_in_femur_0,,,,
hook_ext,11,main_tibia_flexor_in_femur_0,,,,
hook_ext,11,main_tibia_flexor_in_femur_0,,,,
hook_ext,18,main_tibia_flexor_in_femur_0,,,,
claw_ext,7,main_tibia_flexor_in_femur_0,,,,
claw_ext,14,main_tibia_flexor_in_femur_0,,,,
claw_ext,14,main_tibia_flexor_in_femur_0,,,,
claw_ext,4,main_tibia_flexor_in_femur_0,,,,
hook_ext,9,main_tibia_flexor_in_femur_0,,,,
claw_ext,15,main_tibia_flexor_in_femur_0,,,,
hook_ext,7,main_tibia_flexor_in_femur_0,,,,
hook_ext,5,main_tibia_flexor_in_femur_0,,,,
hook_ext,8,main_tibia_flexor_in_femur_2,,,,
claw_ext,4,main_tibia_flexor_in_femur_2,,,,
hook_ext,6,main_tibia_flexor_in_femur_2,,,,
claw_ext,6,main_tibia_flexor_in_femur_2,,,,
claw_ext,16,main_tibia_flexor_in_femur_2,,,,
claw_ext,4,main_tibia_flexor_in_femur_2,,,,
hook_ext,4,main_tibia_flexor_in_femur_2,,,,
hook_ext,6,main_tibia_flexor_in_femur_2,,,,
hook_ext,10,main_tibia_flexor_in_femur_3,,,,
claw_ext,10,main_tibia_flexor_in_femur_3,,,,
claw_ext,14,main_tibia_flexor_in_femur_3,,,,
claw_ext,12,main_tibia_flexor_in_femur_3,,,,
hook_ext,6,main_tibia_flexor_in_femur_3,,,,
hook_ext,9,main_tibia_flexor_in_femur_3,,,,
claw_ext,17,main_tibia_flexor_in_femur_3,,,,
hook_ext,4,main_tibia_flexor_in_femur_3,,,,
hook_ext,21,main_tibia_flexor_in_femur_3,,,,
hook_ext,7,main_tibia_flexor_in_femur_3,,,,
claw_ext,5,main_tibia_flexor_in_femur_3,,,,
claw_ext,9,main_tibia_flexor_in_femur_4,,,,
claw_ext,11,main_tibia_flexor_in_femur_4,,,,
hook_ext,10,main_tibia_flexor_in_femur_4,,,,
hook_ext,5,main_tibia_flexor_in_femur_4,,,,
claw_ext,31,main_tibia_flexor_in_femur_4,,,,
hook_ext,6,main_tibia_flexor_in_femur_4,,,,
claw_ext,12,main_tibia_flexor_in_femur_4,,,,
hook_ext,5,main_tibia_flexor_in_femur_4,,,,
claw_ext,5,main_tibia_flexor_in_femur_4,,,,
claw_ext,27,main_tibia_flexor_in_femur_4,,,,
claw_ext,12,main_tibia_flexor_in_femur_4,,,,
hook_ext,16,main_tibia_flexor_in_femur_4,,,,
hook_ext,8,main_tibia_flexor_in_femur_4,,,,
hook_flx,22,tibia_extensor_in_femur_feti,,,,
claw_flx,22,tibia_extensor_in_femur_feti,,,,
claw_flx,9,tibia_extensor_in_femur_feti,,,,
claw_flx,6,tibia_extensor_in_femur_feti,,,,
claw_flx,9,tibia_extensor_in_femur_feti,,,,
hook_flx,6,tibia_extensor_in_femur_feti,,,,
claw_flx,22,tibia_extensor_in_femur_feti,,,,
claw_flx,10,tibia_extensor_in_femur_feti,,,,
claw_flx,4,tibia_extensor_in_femur_feti,,,,
claw_flx,21,tibia_extensor_in_femur_feti,,,,
hook_flx,11,tibia_extensor_in_femur_feti,,,,
claw_flx,6,tibia_extensor_in_femur_feti,,,,
hook_flx,22,tibia_extensor_in_femur_feti,,,,
claw_flx,7,tibia_extensor_in_femur_feti,,,,
claw_flx,5,tibia_extensor_in_femur_seti,,,,
hook_flx,4,tibia_extensor_in_femur_seti,,,,
hook_flx,9,tibia_extensor_in_femur_seti,,,,
hook_flx,4,tibia_extensor_in_femur_seti,,,,
hook_flx,6,tibia_extensor_in_femur_seti,,,,
hook_flx,7,tibia_extensor_in_femur_seti,,,,
hook_flx,5,tibia_extensor_in_femur_seti,,,,
hook_flx,7,tibia_extensor_in_femur_seti,,,,
claw_flx,4,tibia_extensor_in_femur_seti,,,,
claw_flx,5,tibia_extensor_in_femur_seti,,,,
hook_flx,5,tibia_extensor_in_femur_seti,,,,
hook_flx,6,tibia_extensor_in_femur_seti,,,,
