13A,motor neuron,weight,query,post_id,n,id.x,names.x,id.y,X,id,valid,classification_system,pt_supervoxel_id,pt_root_id,pt_position
13A-R-10a,extracoxal_trochanter_depressor_in_thorax_Vn,8,648518346488772686,648518346486265480,1,648518346521464057,R13A11b,648518346488772686,111,414,t,V5_T1R,73890000093079139,648518346501264984,[54883 84397  2319]
13A-R-6a,extracoxal_trochanter_depressor_in_thorax_Vn,16,648518346496511829,648518346486265480,1,648518346509900838,R13A_ε_y,648518346496511829,111,414,t,V5_T1R,73890000093079139,648518346501264984,[54883 84397  2319]
13A-R-7a,extracoxal_trochanter_depressor_in_thorax_Vn,14,648518346475595904,648518346486265480,1,648518346485984904,R13A9d,648518346475595904,111,414,t,V5_T1R,73890000093079139,648518346501264984,[54883 84397  2319]
13A-R-7c,extracoxal_trochanter_depressor_in_thorax_Vn,15,648518346481935037,648518346486265480,1,648518346489031913,R13A9c,648518346481935037,111,414,t,V5_T1R,73890000093079139,648518346501264984,[54883 84397  2319]
13A-R-α-10f,extracoxal_trochanter_depressor_in_thorax_Vn,6,648518346493805304,648518346486265480,1,648518346493805304,R13A-α,648518346493805304,111,414,t,V5_T1R,73890000093079139,648518346501264984,[54883 84397  2319]
13A-R-10b,extracoxal_trochanter_depressor_in_thorax_Vn,4,648518346486451113,648518346486265480,1,648518346518664927,13A-uk3,648518346486451113,111,414,t,V5_T1R,73890000093079139,648518346501264984,[54883 84397  2319]
13A-R-6b,extracoxal_trochanter_depressor_in_thorax_Vn,4,648518346507405599,648518346486265480,1,648518346485868484,R13A7b,648518346507405599,111,414,t,V5_T1R,73890000093079139,648518346501264984,[54883 84397  2319]
13A-R-10b,extracoxal_trochanter_depressor_in_thorax_Vn,17,648518346486451113,648518346493285660,1,648518346518664927,13A-uk3,648518346486451113,112,415,t,V3_T1R,73819768452722670,648518346476492918,[53218 89773  1773]
13A-R-10a,extracoxal_trochanter_depressor_in_thorax_Vn,84,648518346488772686,648518346493285660,1,648518346521464057,R13A11b,648518346488772686,112,415,t,V3_T1R,73819768452722670,648518346476492918,[53218 89773  1773]
13A-R-α-10f,extracoxal_trochanter_depressor_in_thorax_Vn,20,648518346493805304,648518346493285660,1,648518346493805304,R13A-α,648518346493805304,112,415,t,V3_T1R,73819768452722670,648518346476492918,[53218 89773  1773]
13A-R-7a,extracoxal_trochanter_depressor_in_thorax_Vn,40,648518346475595904,648518346493285660,1,648518346485984904,R13A9d,648518346475595904,112,415,t,V3_T1R,73819768452722670,648518346476492918,[53218 89773  1773]
13A-R-6a,extracoxal_trochanter_depressor_in_thorax_Vn,81,648518346496511829,648518346493285660,1,648518346509900838,R13A_ε_y,648518346496511829,112,415,t,V3_T1R,73819768452722670,648518346476492918,[53218 89773  1773]
13A-R-8e,extracoxal_trochanter_depressor_in_thorax_Vn,7,648518346486416008,648518346493285660,1,648518346495607915,R13A8b,648518346486416008,112,415,t,V3_T1R,73819768452722670,648518346476492918,[53218 89773  1773]
13A-R-1c,extracoxal_trochanter_depressor_in_thorax_Vn,4,648518346493289500,648518346493285660,1,648518346496363349,R13A2b,648518346493289500,112,415,t,V3_T1R,73819768452722670,648518346476492918,[53218 89773  1773]
13A-R-7b,extracoxal_trochanter_depressor_in_thorax_Vn,5,648518346492108683,648518346493285660,1,648518346500412376,R13A9b,648518346492108683,112,415,t,V3_T1R,73819768452722670,648518346476492918,[53218 89773  1773]
13A-R-8b,extracoxal_trochanter_depressor_in_thorax_Vn,20,648518346497197720,648518346493285660,1,648518346475292513,R13A8e_7c,648518346497197720,112,415,t,V3_T1R,73819768452722670,648518346476492918,[53218 89773  1773]
13A-R-3a,extracoxal_trochanter_depressor_in_thorax_Vn,4,648518346496910338,648518346493285660,1,648518346482787237,R13A5a,648518346496910338,112,415,t,V3_T1R,73819768452722670,648518346476492918,[53218 89773  1773]
13A-R-1d,extracoxal_trochanter_depressor_in_thorax_Vn,12,648518346504903795,648518346493285660,1,648518346490552829,R13A2d,648518346504903795,112,415,t,V3_T1R,73819768452722670,648518346476492918,[53218 89773  1773]
13A-R-8c,extracoxal_trochanter_depressor_in_thorax_Vn,49,648518346495525199,648518346493285660,1,648518346477725079,R13A8c,648518346495525199,112,415,t,V3_T1R,73819768452722670,648518346476492918,[53218 89773  1773]
13A-R-9h,extracoxal_trochanter_depressor_in_thorax_Vn,8,648518346501542232,648518346493285660,1,648518346501251427,R13A10e,648518346501542232,112,415,t,V3_T1R,73819768452722670,648518346476492918,[53218 89773  1773]
13A-R-1e,extracoxal_trochanter_depressor_in_thorax_Vn,5,648518346477815703,648518346493285660,1,648518346491510244,R13A1a_12f,648518346477815703,112,415,t,V3_T1R,73819768452722670,648518346476492918,[53218 89773  1773]
13A-R-9g,extracoxal_trochanter_depressor_in_thorax_Vn,8,648518346467397383,648518346493285660,1,648518346495770187,R13A10c,648518346467397383,112,415,t,V3_T1R,73819768452722670,648518346476492918,[53218 89773  1773]
13A-R-9i,extracoxal_trochanter_depressor_in_thorax_Vn,11,648518346524266501,648518346493285660,1,648518346489624671,R13A10g,648518346524266501,112,415,t,V3_T1R,73819768452722670,648518346476492918,[53218 89773  1773]
13A-R-9d,extracoxal_trochanter_depressor_in_thorax_Vn,10,648518346491635142,648518346493285660,1,648518346514069982,R13A_γ_6,648518346491635142,112,415,t,V3_T1R,73819768452722670,648518346476492918,[53218 89773  1773]
13A-R-7c,extracoxal_trochanter_depressor_in_thorax_Vn,30,648518346481935037,648518346493285660,1,648518346489031913,R13A9c,648518346481935037,112,415,t,V3_T1R,73819768452722670,648518346476492918,[53218 89773  1773]
13A-R-6e,extracoxal_trochanter_depressor_in_thorax_Vn,12,648518346517211173,648518346493285660,1,648518346517211173,R13A7e,648518346517211173,112,415,t,V3_T1R,73819768452722670,648518346476492918,[53218 89773  1773]
