13A_DOWNSTREAM 13A (RIGHT)
pre_id,query,weight,n,id.x,id.y,names.y,id,names
648518346459856132,648518346496143050,5,1,648518346481342821,648518346496143050,13A-R-3g,648518346459856132,13A-R-3e
648518346459856132,648518346499550555,4,1,648518346486482097,648518346499550555,13A-R-β-10g,648518346459856132,13A-R-3e
648518346484181533,648518346486686340,4,1,648518346480868573,648518346486686340,13A-R-9f,648518346484181533,13A-R-6f
648518346486350178,648518346472000923,5,1,648518346479398848,648518346472000923,13A-R-6d,648518346486350178,13A-R-6c
648518346486686340,648518346491635142,6,1,648518346514069982,648518346491635142,13A-R-9d,648518346486686340,13A-R-9f
648518346486686340,648518346493805304,25,1,648518346493805304,648518346493805304,13A-R-α-10f,648518346486686340,13A-R-9f
648518346487938004,648518346490237905,15,1,648518346489562711,648518346490237905,13A-R-δ-10e,648518346487938004,13A-R-10d
648518346487938004,648518346492130066,51,1,648518346487562452,648518346492130066,13A-R-10c,648518346487938004,13A-R-10d
648518346487938004,648518346491635142,7,1,648518346514069982,648518346491635142,13A-R-9d,648518346487938004,13A-R-10d
648518346487938004,648518346493805304,8,1,648518346493805304,648518346493805304,13A-R-α-10f,648518346487938004,13A-R-10d
648518346488925169,648518346496143050,5,1,648518346481342821,648518346496143050,13A-R-3g,648518346488925169,13A-R-3f
648518346490237905,648518346487938004,14,1,648518346496642050,648518346487938004,13A-R-10d,648518346490237905,13A-R-δ-10e
648518346490237905,648518346486686340,19,1,648518346480868573,648518346486686340,13A-R-9f,648518346490237905,13A-R-δ-10e
648518346490237905,648518346502495059,31,1,648518346485791614,648518346502495059,13A-R-9e,648518346490237905,13A-R-δ-10e
648518346491635142,648518346486416008,8,1,648518346495607915,648518346486416008,13A-R-8e,648518346491635142,13A-R-9d
648518346492130066,648518346486686340,4,1,648518346480868573,648518346486686340,13A-R-9f,648518346492130066,13A-R-10c
648518346492130066,648518346507214367,6,1,648518346507214367,648518346507214367,13A-R-8a,648518346492130066,13A-R-10c
648518346492130066,648518346497197720,12,1,648518346475292513,648518346497197720,13A-R-8b,648518346492130066,13A-R-10c
648518346492130066,648518346502495059,6,1,648518346485791614,648518346502495059,13A-R-9e,648518346492130066,13A-R-10c
648518346492130066,648518346486416008,5,1,648518346495607915,648518346486416008,13A-R-8e,648518346492130066,13A-R-10c
648518346493957489,648518346496143050,8,1,648518346481342821,648518346496143050,13A-R-3g,648518346493957489,13A-R-3d
648518346495944043,648518346496143050,7,1,648518346481342821,648518346496143050,13A-R-3g,648518346495944043,13A-R-3c
648518346496143050,648518346524266501,9,1,648518346489624671,648518346524266501,13A-R-9i,648518346496143050,13A-R-3g
648518346496143050,648518346477160720,9,1,648518346493704952,648518346477160720,13A-R-8d,648518346496143050,13A-R-3g
648518346496143050,648518346475595904,5,1,648518346485984904,648518346475595904,13A-R-7a,648518346496143050,13A-R-3g
648518346496143050,648518346486416008,10,1,648518346495607915,648518346486416008,13A-R-8e,648518346496143050,13A-R-3g
648518346496143050,648518346495525199,5,1,648518346477725079,648518346495525199,13A-R-8c,648518346496143050,13A-R-3g
648518346496143050,648518346511967856,16,1,648518346487640386,648518346511967856,13A-R-9b,648518346496143050,13A-R-3g
648518346496511829,648518346493805304,25,1,648518346493805304,648518346493805304,13A-R-α-10f,648518346496511829,13A-R-6a
648518346499550555,648518346493289500,8,1,648518346496363349,648518346493289500,13A-R-1c,648518346499550555,13A-R-β-10g
648518346502495059,648518346531536666,8,1,648518346499750867,648518346531536666,13A-R-4e,648518346502495059,13A-R-9e
648518346502495059,648518346493805304,21,1,648518346493805304,648518346493805304,13A-R-α-10f,648518346502495059,13A-R-9e
648518346502495059,648518346492130066,47,1,648518346487562452,648518346492130066,13A-R-10c,648518346502495059,13A-R-9e
648518346521654521,648518346496143050,8,1,648518346481342821,648518346496143050,13A-R-3g,648518346521654521,13A-R-9a
