feco,weight,13A,,,,
claw_flx,33,L13A-α,,,,
hook_flx,4,L13A-α,,,,
claw_flx,4,L13A-α,,,,
claw_flx,10,L13A-α,,,,
claw_flx,16,L13A-α,,,,
claw_flx,37,L13A-α,,,,
claw_flx,9,L13A-α,,,,
hook_flx,12,L13A-α,,,,
claw_flx,25,L13A-α,,,,
claw_flx,8,L13A-α,,,,
hook_flx,8,L13A-α,,,,
hook_flx,8,L13A-α,,,,
hook_flx,6,L13A-α,,,,
claw_flx,12,L13A-α,,,,
claw_flx,16,L13A-α,,,,
hook_flx,4,L13A-α,,,,
claw_flx,10,L13A-α,,,,
claw_flx,18,L13A-α,,,,
claw_ext,7,L13A-α,,,,
hook_ext,11,L13A-β,,,,
hook_ext,7,L13A-β,,,,
hook_ext,15,L13A-β,,,,
hook_ext,5,L13A-β,,,,
hook_ext,9,L13A-β,,,,
claw_ext,4,L13A-β,,,,
hook_ext,8,L13A-β,,,,
hook_ext,14,L13A-β,,,,
claw_flx,4,L13A-γ,,,,
claw_flx,4,L13A-γ,,,,
claw_flx,29,L13A-δ,,,,
claw_flx,57,L13A-δ,,,,
claw_flx,16,L13A-δ,,,,
claw_flx,59,L13A-δ,,,,
claw_flx,20,L13A-δ,,,,
claw_flx,52,L13A-δ,,,,
claw_flx,37,L13A-δ,,,,
claw_flx,13,L13A-δ,,,,
hook_flx,5,L13A-δ,,,,
claw_flx,20,L13A-δ,,,,
claw_flx,33,L13A-δ,,,,
claw_flx,44,L13A-δ,,,,
hook_flx,4,L13A-δ,,,,
claw_flx,9,L13A-δ,,,,
claw_flx,18,L13A-δ,,,,
hook_ext,11,L13A-δ,,,,
hook_ext,7,L13A-δ,,,,
hook_ext,15,L13A-δ,,,,
hook_ext,5,L13A-δ,,,,
hook_ext,9,L13A-δ,,,,
claw_ext,4,L13A-δ,,,,
hook_ext,8,L13A-δ,,,,
hook_ext,14,L13A-δ,,,,
claw_ext,15,13ALUK5,,,,
claw_ext,23,13ALUK5,,,,
claw_ext,9,13ALUK5,,,,
claw_ext,10,13ALUK5,,,,
claw_ext,10,13ALUK5,,,,
claw_ext,16,13ALUK5,,,,
claw_ext,23,13ALUK5,,,,
claw_ext,36,13ALUK5,,,,
claw_ext,7,13AL4f,,,,
claw_ext,9,13AL4f,,,,
claw_ext,13,13AL4f,,,,
claw_ext,9,13AL4f,,,,
claw_ext,10,13AL4f,,,,
claw_ext,7,13AL4f,,,,
claw_ext,9,13AL4f,,,,
claw_ext,13,13AL4f,,,,
claw_ext,9,13AL4f,,,,
claw_ext,10,13AL4f,,,,
